Title,Month,Year,Author
A Survey and Classification of Security and Privacy Research in Smart Healthcare Systems,May,2020,"Alraja, Mansour Naser; Barhamgi, Hanadi; Rattrout, Amjad; Barhamgi, Mahmoud"
An anonymity communication protocol for security and privacy of clients in IoT-based mobile health transactions,May,2020,"Attarian, Reyhane; Hashemi, Sattar"
Blockchain-based patient centric health care communication system,May,2020,"Naresh, Vankamamidi S; Reddi, Sivaranjani; Allavarpu, VVL Divakar"
Privacy-preserving data integrity verification by using lightweight streaming authenticated data structures for healthcare cyber–physical system,May,2020,"Miyachi, Ken; Mackey, Tim K"
Securing electronic healthcare records: A mobile-based biometric authentication approach,May,2020,Jigna J. Hathaliya; Sudeep Tanwar; Richard Evans
An exhaustive survey on security and privacy issues in Healthcare 4.0,Mar,2020,
An integrated framework for privacy protection in IoT — Applied to smart healthcare,Mar,2020,"Hathaliya, Jigna J; Tanwar, Sudeep"
Enhancing Network Security for Image Steganography by Splitting Graphical Matrix,Mar,2020,"Kumar, Rohit; Joshi, Kamaldeep"
A ciphertext-policy Attribute based encryption scheme for wireless body area networks based on ECC,Jun,2020,K. Sowjanya; Mou Dasgupta
Intrusion Detection System Using Ensemble of Decision Trees and Genetic Search Algorithm as a Feature Selector,Jun,2020,"Gaikwad, D. P"
Key indicators of ethical challenges in digital healthcare: A combined Delphi exploration and confirmative factor analysis approach with evidence from Khorasan province in Iran,Jun,2020,"Rezaei, Mojtaba; Jafari-Sadeghi, Vahid; Cao, Dongmei; Mahdiraji, Hannan Amoozad"
Medical wireless sensor diagnosis and children's respiratory tract infection nursing intervention,Jun,2020,"Zhang, Ling; Zhao, Cunfei; Niu, Qingyan; Su, Jimei; Huang, Yanmei"
Securing Data Where It Makes Sense: In-Memory Encryption,Jun,2020,"Yalç?n, Tolga"
Value co-creation in online healthcare communities,Jun,2020,"Shirazi, Farid; Wu, Yun; Hajli, Ali; Zadeh, Arash H; Hajli, Nick; Lin, Xiaolin"
Onboard disease prediction and rehabilitation monitoring on secure edge-cloud integrated privacy preserving healthcare system,Jul,2020,"Guo, Xuancheng; Lin, Hui; Wu, Yulei; Peng, Min"
"Scalable, efficient, and secure RFID with elliptic curve cryptosystem for Internet of Things in healthcare environment",Jul,2020,"Davood Noori, Hassan Shakeri and Masood Niazi Torshiz"
Security and Privacy for the Internet of Medical Things Enabled Healthcare Systems: A Survey,Jul,2020,"Xu, Jian; Wei, Laiwen; Wu, Wei; Wang, Andi; Zhang, Yu; Zhou, Fucai"
Onboard disease prediction and rehabilitation monitoring on secure edge-cloud integrated privacy preserving healthcare system,Jan,2020,
Sport Location-Based User Clustering With Privacy-Preservation in Wireless IoT-Driven Healthcare,Jan,2020,"Jayaram, Ramaprabha; Prabakaran, S"
A prototype implementation and evaluation of the malware detection mechanism for IoT devices using the processor information,Feb,2020,"Takase, Hayate; Kobayashi, Ryotaro; Kato, Masahiko; Ohmura, Ren"
A Risk-Assessment of Cyber Attacks and Defense Strategies in Industry 4.0 Ecosystem,Feb,2020,Ahmet Ali Süzen
A trust management scheme for IoT-enabled environmental health/accessibility monitoring services,Feb,2020,"Shayesteh, Behshid; Hakami, Vesal; Akbari, Ahmad"
An elliptic curve cryptography based enhanced anonymous authentication protocol for wearable health monitoring systems,Feb,2020,"Sowjanya, K.; Dasgupta, Mou; Ray, Sangram"
Evaluation of QoS Support of AODV and its Multicast Extension for Multimedia over MANETs,Feb,2020,"Poluboyina, Lavanya;Sivakumar Reddy V;Mallikarjuna, Prasad A"
A new data clustering strategy for enhancing mutual privacy in healthcare IoT systems,Dec,2020,
Analysis of Cybersecurity Standard and Framework Components,Dec,2020,"Syafrizal, Melwin;Selamat, Siti Rahayu;Zakaria, Nurul Azma"
Anonymous Authentication Protocols for IoT based- Healthcare Systems: A survey,Dec,2020,"Asassfeh, Mahmoud Rajallah;Obeid, Nadim;Almobaideen, Wesam"
Blockchain and quantum blind signature-based hybrid scheme for healthcare 5.0 applications,Dec,2020,Makwana Bhavin; Sudeep Tanwar; Neeraj Kumar
Design a secure IoT Architecture using Smart Wireless Networks,Dec,2020,"Almrezeq, Nourah;Almadhoor, Lama;Alrasheed, Thowg;El-Aziz, A A Abd;Nashwan, Shadi"
Poor self-rated oral health associated with poorer general health among Indigenous Australians.,Dec,2020,"Ju, Xiangqun; Hedges, Joanne; Garvey, Gail; Smith, Megan; Canfell, Karen; Jamieson, Lisa"
"Telehealth and Data Privacy: Issues for the ""New Normal"" in Health Care: A Look at the Main Areas of Legal Risk from a Data Privacy and Security Perspective.",Dec,2020,
A lightweight key management scheme for key-escrow-free ECC-based CP-ABE for IoT healthcare systems,Aug,2020,"Sowjanya, K; Dasgupta, Mou; Ray, Sangram"
Cyber Security Concerns in Social Networking Service,Aug,2020,"Hamid, Abdul;Alam, Monsur;Sheherin, Hafsina;Pathan, Al-Sakib Khan"
Design of Lightweight Authentication Protocol for Fog enabled Internet of Things - A Centralized Authentication Framework,Aug,2020,"Verma, Upendra;Bhardwaj, Diwakar"
Disposable dynamic accumulators: toward practical privacy-preserving mobile eIDs with scalable revocation,Aug,2020,"Hölzl, Michael; Roland, Michael; Mir, Omid; Mayrhofer, René"
Enhanced Dynamic Bandwidth Allocation Algorithm for Intelligent Home Networks,Aug,2020,"Nkosi, Themba L;Mphahlele, Maredi;Ojo, Sunday O;Mathonsi, Topside E"
PDGuard: an architecture for the control and secure processing of personal health data,Aug,2020,"Mitropoulos, Dimitris; Sotiropoulos, Thodoris; Koutsovasilis, Nikos; Spinellis, Diomidis"
Privacy paradox in mHealth applications: An integrated elaboration likelihood model incorporating privacy calculus and privacy fatigue,Aug,2020,"Zhu, Mengxi; Wu, Chuanhui; Huang, Shijing; Zheng, Kai; Young, Sean D"
Privacy-preserving contact tracing in 5G-integrated and blockchain-based medical applications,Aug,2020,"Zhang, Can; Xu, Chang; Sharif, Kashif; Zhu, Liehuang"
Validating the moderating role of age in multi-perspective acceptance model of wearable healthcare technology,Aug,2020,"Kim, Taesung Brian; Ho, Chien-Ta Bruce"
A Classification of non-Cryptographic Anonymization Techniques ensuring Privacy in Big Data,Apr,2020,"El Ouazzani, Zakariae;El Bakkali, Hanan"
A robust authentication and access control protocol for securing wireless healthcare sensor networks,Apr,2020,Zeeshan Ali; Anwar Ghani; Debasis Giri
Articulation Point Based Quasi Identifier Detection for Privacy Preserving in Distributed Environment,Apr,2020,"Chandrakar, Ila;Hulipalled, Vishwanath R"
Controlled alternate quantum walks based privacy preserving healthcare images in Internet of Things,Apr,2020,
Efficient and privacy-preserving authentication scheme for wireless body area networks,Apr,2020,Mengxia Shuai; Bin Liu; Changhui Wang
Empowering Information Retrieval in Semantic Web,Apr,2020,"Mithun, Ahamed M;Z Abu Bakar"
Exploring Data Security and Privacy Issues in Internet of Things Based on Five-Layer Architecture,Apr,2020,"Kumar, P Ravi;Wan, Au Thien;Suhaili, Wida Susanty Haji"
IoT Crawler with Behavior Analyzer at Fog layer for Detecting Malicious Nodes,Apr,2020,"Albdour, Layla;Manaseer, Saher;Sharieh, Ahmad"
Out of Control - Privacy Calculus and the Effect of Perceived Control and Moral Considerations on the Usage of IoT Healthcare Devices,Apr,2020,"Abd EL-Latif, Ahmed A; Abd-El-Atty, Bassem; Abou-Nassar, Eman M; Venegas-Andraca, Salvador E"
SecNetworkCloudSim: An Extensible Simulation Tool for Secure Distributed Mobile Applications,Apr,2020,"Annane, Boubakeur;Alti, Adel;Ghazali, Osman"
A Categorization of Cloud-Based Services and their Security Analysis in the Healthcare Sector,,2020,
A Context-Aware Security Model for a Combination of Attribute-Based Access Control and Attribute-Based Encryption in the Healthcare Domain,,2020,
A fuzzy TOPSIS based analysis toward selection of effective security requirements engineering approach for trustworthy healthcare software development,,2020,"Md Tarique Jamal Ansari, Fahad Ahmed Al-Zahrani, Dhirendra Pandey, Alka Agrawal"
A Matter of Life and Death: Analyzing the Security of Healthcare Network,,2020,
A Survey on Security and Privacy Issues in Modern Healthcare Systems: Attacks and Defenses,,2020,
A Sustainable Solution to Support Data Security in High Bandwidth Healthcare Remote Locations by Using TCP CUBIC Mechanism,,2020,
A Thermodynamic Assessment of the Cyber Security Risk in Healthcare Facilities,,2020,
Achieving data security and privacy across healthcare applications using cyber security mechanisms,,2020,"Shanying Zhu, Vijayalakshmi Saravanan, BalaAnand Muthu"
An exhaustive survey on security and privacy issues in Healthcare 4,,2020,
An internet-of-things-based security scheme for healthcare environment for robust location privacy,,2020,"Aakanksha Tewari, Brij B. Gupta"
Application of Intelligent Multi Agent Based Systems For E-Healthcare Security,,2020,
Artificial intelligence and multi agent based distributed ledger system for better privacy and security of electronic healthcare records,,2020,Fahad F. Alruwaili
Blockchain and Smart Healthcare Security: A Survey,,2020,
Compatibility of a Security Policy for a Cloud-Based Healthcare System with the EU General Data Protection Regulation ,,2020,
Compatibility of a Security Policy for a Cloud-Based Healthcare System with the EU General Data Protection Regulation (GDPR),,2020,"Dimitra Georgiou, Costas Lambrinoudakis"
Cross-Domain Security Asset Management for Healthcare,,2020,
Cryptanalysis and Security Improvement of Two Authentication Schemes for Healthcare Systems Using Wireless Medical Sensor Networks,,2020,
"Cybernetic Approach to Developing Resilient Healthcare Systems: Concept, Models and Application",,2020,"Kharchenko, Vyacheslav; Dotsenko, Sergiy; Ponochovnyi, Yuriy; Illiashenko, Oleg"
Data-Driven and Artificial Intelligence AI Approach for Modelling and Analyzing Healthcare Security Practice: A Systematic Review,,2020,
Digital Twins and Semantic Data Fusion for Security in a Healthcare Environment,,2020,
Distributed Security Model for Remote Healthcare DSM-RH Services in Internet of Things Environment,,2020,
e-Governance for healthcare service delivery in India: challenges and opportunities in security and privacy,,2020,
Evaluating the Security Impact of Healthcare Web Applications Through Fuzzy Based Hybrid Approach of Multi-Criteria Decision-Making Analysis,,2020,"Alka Agrawal, Abhishek Kumar Pandey, Abdullah Baz, Hosam Alhakami, Wajdi Alhakami, Rajeev Kumar, Raees Ahmad Khan"
"Evaluating the Usable-Security of Healthcare Software Through Unified Technique of Fuzzy Logic, ANP and TOPSIS",,2020,Fahad Ahmed Al-Zahrani
Fuzzy-Based Symmetrical Multi-Criteria Decision-Making Procedure for Evaluating the Impact of Harmful Factors of Healthcare Information Security,,2020,
Healthcare Security Based on Blockchain within Multi-parameter Chaotic Map,,2020,
HHDSSC: harnessing healthcare data security in cloud using ciphertext policy attribute-based encryption,,2020,
Improved Security of a Pairing-Free Certificateless Aggregate Signature in Healthcare Wireless Medical Sensor Networks,,2020,"Jinhui Liu, Lianhai Wang, Yong Yu"
Information security climate and the assessment of information security risk among healthcare employees,,2020,"Stacey R. Kessler, Shani Pindek, Gary Kleinman, Stephanie Andel, Paul E. Spector"
IoT Security in Healthcare using AI: A Survey,,2020,
Medical Data Security for Healthcare Applications Using Hybrid Lightweight Encryption and Swarm Optimization Algorithm,,2020,
Model Fooling Attacks Against Medical Imaging: A Short Survey,,2020,"Sipola, Tuomo; Puuska, Samir; Kokkonen, Tero"
"Observing, Measuring and Collecting HDD Performance Metrics on a Physical Machine During Ransomware Attack",,2020,"Dimov, Dimo; Tsonev, Yuliyan"
Penetration Testing and Security Assessment of Healthcare Records on Hospital Websites,,2020,"Tian Tang, Mu-Chuan Zhou, Yi Quan, Jun-Liang Guo, V. S. Balaji, V. Gomathi, Elamaran Vellaiappan"
Private blockchain-envisioned security framework for AI-enabled IoT-based drone-aided healthcare services,,2020,
Resilience Management Framework for Critical Information Infrastructure: Designing the Level of Trust that Encourages the Exchange of Health Data,,2020,"Rajamäki, Jyri"
SDN-Based Security Enforcement Framework for Data Sharing Systems of Smart Healthcare,,2020,
Security and Privacy Issues for Intelligent Cloud-Based Health Systems,,2020,
Security and Privacy Requirements for Cloud Computing in Healthcare: Elicitation and Prioritization from a Patient Perspective,,2020,
"Security and Privacy of Electronic Healthcare Records : Concepts, Paradigms and Solutions",,2020,
Security Assured CNN-Based Model for Reconstruction of Medical Images on the Internet of Healthcare Things,,2020,
Security issues and challenges in Healthcare Automated Devices,,2020,
State Privacy Laws May Have Implications for Healthcare Providers,,2020,
The Future of Blockchain Technology in Healthcare Internet of Things Security,,2020,
The Influence of Professional Subculture on Information Security Policy Violations: A Field Study in a Healthcare Context,,2020,"Sumantra Sarkar, Anthony Vance, Balasubramaniam Ramesh, Menelaos Demestihas, Daniel Thomas Wu"
The Search for the Health and Social Security: Experiences from Consumers Searching for Healthcare Services,,2020,
Theory-Based Model and Prediction Analysis of Information Security Compliance Behavior in the Saudi Healthcare Sector,,2020,
"Toward Uniform Smart Healthcare Ecosystems: A Survey on Prospects, Security, and Privacy Considerations",,2020,
Uncovering the cyber security challenges in healthcare,,2020,Alyn Hockey
Blockchain-based security & privacy for biomedical and healthcare information exchange systems,Sep,2019,"Saha, R; Kumar, G; Rai, MK; Thomas, R; Lim, S"
Privacy Ensured  ${e}$ -Healthcare for Fog-Enhanced IoT Based Applications,Sep,2019,Sudeep Tanwar; Sudhanshu Tyagi; Neeraj Kumar
Wavelength Switching Delay and Distribution in Optical Fiber Networks,Sep,2019,"Nisar, Farhan;Baseer, Samad;Khan, Arshad"
Long-term integrity protection of genomic data,Oct,2019,"Johannes Buchmann, Matthias Geihs, Kay Hamacher, Stefan Katzenbeisser and Sebastian Stammler"
Blockchain-based electronic healthcare record system for healthcare 4.0 applications,Nov,2019,Sudeep Tanwar; Karan Parekh; Richard Evans
Delivering a Secured Cloud Computing Architecture and Traditional IT Outsourcing Environment via Penetration Tools in Ghana,Nov,2019,"Umar Sayibu;Frimpong Twum;Baako, Issah"
Construction for Searchable Encryption with Strong Security Guarantees,May,2019,"Vajda, István"
Privacy-preserving decentralized ABE for secure sharing of personal health records in cloud storage,May,2019,Pengfei Liang; Leyou Zhang; Juan Ren
A new data clustering strategy for enhancing mutual privacy in healthcare IoT systems,Mar,2019,"Algarni, A"
An exhaustive survey on security and privacy issues in Healthcare 4.0,Mar,2019,"Sun, Y; Lo, FP; Lo, B"
"Comprehensive Study of Data Aggregation Models, Challenges and Security Issues in Wireless Sensor Networks",Mar,2019,"Puranikmath, Veena I;Harakannanavar, Sunil S;Kumar, Satyendra;Torse, Dattaprasad"
Conceptual Model of National Intellectucal System for Children Safety in Internet Environment,Mar,2019,"Alguliyev, Rasim;Ojagverdieva, Sabira"
Cloud-based Framework for Efficient Storage of Unstructured Patient Health Records,Jun,2019,"Abdallah, Hanya M;Taha, Ahmed;Selim, Mazen M"
eDiscovery Challenges in Healthcare: Secure and Effective Management of Data in the Healthcare Industry,Jun,2019,"Krishnan, Sundar; Shashidhar, Narasimha"
A reformed grasshopper optimization with genetic principle for securing medical data,Jul,2019,M. M. Annie Alphonsa; N. MohanaSundaram
Understanding the Evolution of Ransomware: Paradigm Shifts in Attack Structures,Jan,2019,"Zimba, Aaron;Chishimba, Mumbi"
A Chaotic Cryptosystem using Conjugate Transcendental Fractal Function,Feb,2019,"Agarwal, Shafali"
ECC based inter-device authentication and authorization scheme using MQTT for IoT networks,Feb,2019,Ankur Lohachab; Karambir
Inculcating Global Optimization in ZRP through Newfangled Firefly Algorithm,Feb,2019,"Sharma, Neha;Batra, Usha;Zafar, Sherin"
An Improved Machine Learning-Based Short Message Service Spam Detection System,Dec,2019,Odukoya Oluwatoyin;Akinyemi Bodunde;Gooding Titus;Aderounmu Ganiyu
Certificateless searchable public key encryption scheme secure against keyword guessing attacks for smart healthcare,Dec,2019,Mimi Ma; Debiao He; Dengguo Feng
Exploiting Blockchains to improve Data Upload and Storage in the Cloud,Dec,2019,"El Khanboubi, Yassine;Hanoune, Mostafa"
IoT Security Evolution: Challenges and Countermeasures Review,Dec,2019,"Abuagoub, Ali M A"
A New Secure Lightweight Authentication Protocol for NFC mobile Payment,Aug,2019,"Abouhogail, Reham Abdellatif"
Effective and Secure vWSN Applications in a Virtualized Cloud Computing Environment,Aug,2019,"Hussain, Mohammad Equebal;Qayyum, Mohammed;Hussain, Mohammad Rashid;Hussain, Rashid"
Intelligent and Improved Self-Adaptive Anomaly based Intrusion Detection System for Networks,Aug,2019,"Chiba, Zouhair;Abghour, Noreddine;Moussaid, Khalid;El Omri, Amina;Rida, Mohamed"
"Security and Privacy of Electronic Healthcare Records : Concepts, Paradigms and Solutions",Aug,2019,"Alraja, MN; Farooque, MMJ; Khashab, B"
Systematic Review of Internet of Things Security,Aug,2019,"Amiruddin, Amiruddin;Ratna, Anak Agung Putri;Sari, Riri Fitri"
"Telehealth and Data Privacy: Issues for the ""New Normal"" in Health Care: A Look at the Main Areas of Legal Risk from a Data Privacy and Security Perspective.",Aug,2019,"Deebak, BD; Al-Turjman, F; Aloqaily, M; Alfandi, O"
A Novel Secure Patient Data Transmission through Wireless Body Area Network: Health Tele-Monitoring,Apr,2019,"Basnet, A;Alsadoon, Abeer;Prasad, P W C;Alsadoon, Omar Hisham;Pham, Linh;Elchouemi, Amr"
An efficient and privacy-Preserving pre-clinical guide scheme for mobile eHealthcare,Apr,2019,Guoming Wang; Rongxing Lu; Yong Liang Guan
Efficient and Secure ECDSA Algorithm and its Applications: A Survey,Apr,2019,"Al-Zubaidie, Mishall;Zhang, Zhongwei;Zhang, Ji"
Evaluation of DoS attacks on Commercial Wi-Fi-Based UAVs,Apr,2019,"Vasconcelos, Gabriel;Miani, Rodrigo S;Guizilini, Vitor C;Souza, Jefferson R"
Identifier discrimination: realizing selective-ID HIBE with authorized delegation and dedicated encryption privacy,Apr,2019,"Zheng, Jian-Wu; Zhao, Jing; Guan, Xin-Ping"
IoT: Application Protocols and Security,Apr,2019,"Johnson, Derek;Ketel, Mohammed"
On the Impact of Perceived Vulnerability in the Adoption of Information Systems Security Innovations,Apr,2019,Mumtaz Abdul Hameed;Nalin Asanka Gamagedara Arachchilage
Secure telemedicine using RONI halftoned visual cryptography without pixel expansion,Apr,2019,Arvind Bakshi; Anoop Kumar Patel
ZigBee Healthcare Monitoring System for Ambient Assisted Living Environments,Apr,2019,"Buthelezi, Bongisizwe E;Mphahlele, Maredi;DuPlessis, Deon;Maswikaneng, Solly;Mathonsi, Topside"
A joint resource-aware and medical data security framework for wearable healthcare systems,,2019,
A Markov-Based Model for Information Security Risk Assessment in Healthcare MANETs,,2019,
A Secure Medical Image Watermarking Technique for E-Healthcare Applications,,2019,
A Survey and Classification of Security and Privacy Research in Smart Healthcare Systems,,2019,
An Authentic-Based Privacy Preservation Protocol for Smart e-Healthcare Systems in IoT,,2019,
An IoT-Based Anonymous Function for Security and Privacy in Healthcare Sensor Networks,,2019,
"An Overview of Security Threats, Solutions and Challenges in WBANs for Healthcare",,2019,
Big Data Security Issues and Challenges in Healthcare,,2019,
Chapter Three - Toward realizing self-protecting healthcare information systems: Design and security challenges,,2019,
"Corrigendum to ""Towards Smart Healthcare: Patient Data Privacy and Security in Sensor-Cloud Infrastructure""",,2019,
Digital Healthcare-Associated Infection: A Case Study on the Security of a Major Multi-Campus Hospital System,,2019,
Employee Perspective on Information Security Related Human Error in Healthcare: Proactive Use of IS-CHEC in Questionnaire Form,,2019,
"Framework for Healthcare Security Practice Analysis, Modeling and Incentivization",,2019,
Healthcare Data Security Technology: HIPAA Compliance,,2019,
Healthcare Equity: Questions of Access and Security,,2019,
Healthcare Staffs' Information Security Practices Towards Mitigating Data Breaches: A Literature Survey,,2019,
HealthGuard: A Machine Learning-Based Security Framework for Smart Healthcare Systems,,2019,
Implementation of Security and Privacy Aspects in a Healthcare Social Network,,2019,
Internet of Things in the Healthcare Sector: Overview of Security and Privacy Issues,,2019,
"Internet of Things IOT in Healthcare - Smart Health and Surveillance, Architectures, Security Analysis and Data Transfer",,2019,
Introduction to the Minitrack on Security and Privacy Challenges in Healthcare,,2019,
"IoT for Healthcare: System Architectures, Predictive Analytics and Future Challenges",,2019,
ITrust: identity and trust based access control model for healthcare system security,,2019,
Medical Information Security for Wearable Body Sensor Networks in Smart Healthcare,,2019,
Observational Measures for Effective Profiling of Healthcare Staffs' Security Practices,,2019,
"Privacy and Security of IoT Based Healthcare Systems: Concerns, Solutions, and Recommendations",,2019,
Privacy Ensured ${e}$ -Healthcare for Fog-Enhanced IoT Based Applications,,2019,
Robust Hybrid-Security Protocol for HealthCare Systems,,2019,
Security Analysis of SAT_Jo Lightweight Block Cipher for Data Security in Healthcare IoT,,2019,
Security and Privacy in IoT Systems: A Case Study of Healthcare Products,,2019,
Security And Privacy Of Medical Data: Challenges For Next-Generation Patient-Centric Healthcare Systems,,2019,
Security and Privacy for the Internet of Medical Things Enabled Healthcare Systems: A Survey,,2019,
"Security Assessment as a Service Cross-Layered System for the Adoption of Digital, Personalised and Trusted Healthcare",,2019,
Security Issues in Mobile Healthcare Applications,,2019,
Simulating Light-Weight-Cryptography Implementation for IoT Healthcare Data Security Applications,,2019,
System Approach Towards the Creation of Secure and Resilient Information Technologies in the Healthcare Sector,,2019,"Zaslavskyi, Volodymyr; Pasichna, Maya"
"The Effect of Security, Privacy, Familiarity, and Trust on Users' Attitudes Toward the Use of the IoT-Based Healthcare: The Mediation Role of Risk Perception",,2019,
"The Effect of Security, Privacy, Familiarity, and Trust on Users’ Attitudes Toward the Use of the IoT-Based Healthcare: The Mediation Role of Risk Perception",,2019,
The SERUMS tool-chain: Ensuring Security and Privacy of Medical Data in Smart Patient-Centric Healthcare Systems,,2019,
Towards Machine Learning Enabled Security Framework for IoT-based Healthcare,,2019,
Using NIST Special Publication ,,2019,
Detecting data manipulation attacks on physiological sensor measurements in wearable medical systems,Sep,2018,Hang Cai and Krishna K. Venkatasubramanian
"Reliance on Cryptography of Cloud Computing in Healthcare Information Management, Lessons for Ghana Health Service",Sep,2018,"Kissi, Jonathan; Baozhen Dai; Clemency, Benedicta A.; Amoah-Anomah, Grace"
Unhealthy data breach,Oct,2018,Sue Dunlevy EXCLUSIVE
Cuckoo Optimisation based Intrusion Detection System for Cloud Computing,Nov,2018,"D Asir Antony Gnana Singh;Priyadharshini, R;Leavline, E Jebamalar"
Novel Secured Biometric System Procuring Miniaturized Prorogation,Nov,2018,"Zafar, Sherin;Afzal, Ayesha Hena;M Afshar Alam"
Sexually transmitted infections in children: a prospective cross-sectional hospital-based study,Nov,2018,
